beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,77,207,97,2018-06-12 12:27:13.443464,
False,77,205,97,2018-06-12 12:27:13.456380,
False,77,202,97,2018-06-12 12:27:13.473075,
False,77,198,97,2018-06-12 12:27:13.489750,
False,77,194,97,2018-06-12 12:27:13.506489,
False,77,191,97,2018-06-12 12:27:13.523069,
False,77,189,97,2018-06-12 12:27:13.539910,
False,77,186,97,2018-06-12 12:27:13.556401,
False,77,184,97,2018-06-12 12:27:13.573087,
False,77,183,97,2018-06-12 12:27:13.589759,
False,77,182,97,2018-06-12 12:27:13.606424,
False,77,181,97,2018-06-12 12:27:13.623090,
False,77,179,97,2018-06-12 12:27:13.639766,
False,77,177,97,2018-06-12 12:27:13.656378,
False,77,176,97,2018-06-12 12:27:13.673026,
False,77,173,97,2018-06-12 12:27:13.689752,
False,77,171,97,2018-06-12 12:27:13.706409,
False,77,168,97,2018-06-12 12:27:13.723080,
False,77,167,97,2018-06-12 12:27:13.739764,
False,77,164,97,2018-06-12 12:27:13.756384,
False,77,162,97,2018-06-12 12:27:13.773040,
False,77,160,97,2018-06-12 12:27:13.789784,
False,77,158,97,2018-06-12 12:27:13.806396,
False,77,157,97,2018-06-12 12:27:13.823039,
False,77,158,97,2018-06-12 12:27:13.839795,
False,77,162,97,2018-06-12 12:27:13.856361,
False,77,167,97,2018-06-12 12:27:13.873035,
False,77,173,97,2018-06-12 12:27:13.889800,
False,77,180,97,2018-06-12 12:27:13.906367,
False,77,187,97,2018-06-12 12:27:13.923041,
False,77,192,97,2018-06-12 12:27:13.939785,
False,77,196,97,2018-06-12 12:27:13.956357,
False,77,197,97,2018-06-12 12:27:13.973063,
False,77,196,97,2018-06-12 12:27:13.989771,
False,77,194,97,2018-06-12 12:27:14.006379,
True,77,191,97,2018-06-12 12:27:14.023122,
True,77,188,97,2018-06-12 12:27:14.039750,
False,77,183,97,2018-06-12 12:27:14.056391,
False,77,179,97,2018-06-12 12:27:14.073034,
False,77,175,97,2018-06-12 12:27:14.089764,
False,77,172,97,2018-06-12 12:27:14.106364,
False,77,168,97,2018-06-12 12:27:14.123045,
False,77,167,97,2018-06-12 12:27:14.139704,
False,77,165,97,2018-06-12 12:27:14.156365,
False,77,164,97,2018-06-12 12:27:14.173051,
False,77,163,97,2018-06-12 12:27:14.189693,
False,77,162,97,2018-06-12 12:27:14.206371,
False,77,162,97,2018-06-12 12:27:14.223040,
False,77,161,97,2018-06-12 12:27:14.239694,
False,77,160,97,2018-06-12 12:27:14.256372,
False,77,158,97,2018-06-12 12:27:14.273046,
False,77,157,97,2018-06-12 12:27:14.289700,
False,77,155,97,2018-06-12 12:27:14.306380,
False,77,153,97,2018-06-12 12:27:14.323015,
False,77,150,97,2018-06-12 12:27:14.339729,
False,77,148,97,2018-06-12 12:27:14.356364,
False,77,148,97,2018-06-12 12:27:14.373017,
False,77,148,97,2018-06-12 12:27:14.389738,
False,77,150,97,2018-06-12 12:27:14.406393,
False,77,153,97,2018-06-12 12:27:14.423024,
False,77,158,97,2018-06-12 12:27:14.439726,
False,77,165,97,2018-06-12 12:27:14.456412,
False,77,170,97,2018-06-12 12:27:14.473064,
False,77,177,97,2018-06-12 12:27:14.489690,
False,77,183,97,2018-06-12 12:27:14.506394,
False,77,187,97,2018-06-12 12:27:14.523041,
False,77,189,97,2018-06-12 12:27:14.539688,
False,77,189,97,2018-06-12 12:27:14.556410,
False,77,188,97,2018-06-12 12:27:14.573080,
True,77,185,97,2018-06-12 12:27:14.589747,
True,77,182,97,2018-06-12 12:27:14.606367,
False,77,178,97,2018-06-12 12:27:14.623044,
False,77,175,97,2018-06-12 12:27:14.639773,
False,77,172,97,2018-06-12 12:27:14.656392,
False,77,169,97,2018-06-12 12:27:14.673062,
False,77,167,97,2018-06-12 12:27:14.689723,
False,77,166,97,2018-06-12 12:27:14.706349,
False,77,166,97,2018-06-12 12:27:14.723078,
False,77,165,97,2018-06-12 12:27:14.739699,
False,77,164,97,2018-06-12 12:27:14.756371,
False,77,164,97,2018-06-12 12:27:14.773081,
False,77,163,97,2018-06-12 12:27:14.789689,
False,77,162,97,2018-06-12 12:27:14.806378,
False,77,160,97,2018-06-12 12:27:14.823030,
False,77,159,97,2018-06-12 12:27:14.839741,
False,77,157,97,2018-06-12 12:27:14.856380,
False,77,156,97,2018-06-12 12:27:14.873096,
False,77,154,97,2018-06-12 12:27:14.889702,
False,77,153,97,2018-06-12 12:27:14.906364,
False,77,151,97,2018-06-12 12:27:14.923053,
False,77,150,97,2018-06-12 12:27:14.939692,
False,77,151,97,2018-06-12 12:27:14.956372,
False,77,152,97,2018-06-12 12:27:14.973044,
False,77,155,97,2018-06-12 12:27:14.989699,
False,77,161,97,2018-06-12 12:27:15.006441,
False,77,167,97,2018-06-12 12:27:15.023053,
False,77,174,97,2018-06-12 12:27:15.039743,
False,77,181,97,2018-06-12 12:27:15.056392,
False,77,188,97,2018-06-12 12:27:15.073008,
False,77,193,97,2018-06-12 12:27:15.089694,
False,77,196,97,2018-06-12 12:27:15.106406,
False,77,198,97,2018-06-12 12:27:15.123032,
False,77,198,97,2018-06-12 12:27:15.139753,
False,77,196,97,2018-06-12 12:27:15.156346,
True,77,194,97,2018-06-12 12:27:15.173081,
True,77,191,97,2018-06-12 12:27:15.189729,
False,77,187,97,2018-06-12 12:27:15.206345,
False,77,184,97,2018-06-12 12:27:15.223065,
False,77,180,97,2018-06-12 12:27:15.239699,
False,77,178,97,2018-06-12 12:27:15.256358,
False,77,176,97,2018-06-12 12:27:15.273036,
False,77,174,97,2018-06-12 12:27:15.289718,
False,77,173,97,2018-06-12 12:27:15.306348,
False,77,172,97,2018-06-12 12:27:15.323169,
False,77,171,97,2018-06-12 12:27:15.339700,
False,77,171,97,2018-06-12 12:27:15.356340,
False,77,170,97,2018-06-12 12:27:15.373026,
False,77,169,97,2018-06-12 12:27:15.389695,
False,77,168,97,2018-06-12 12:27:15.406366,
False,77,167,97,2018-06-12 12:27:15.423067,
False,77,166,97,2018-06-12 12:27:15.439678,
False,77,164,97,2018-06-12 12:27:15.456369,
False,77,162,97,2018-06-12 12:27:15.473044,
False,77,161,97,2018-06-12 12:27:15.489675,
False,77,159,97,2018-06-12 12:27:15.506365,
False,77,157,97,2018-06-12 12:27:15.523109,
False,77,156,97,2018-06-12 12:27:15.539693,
False,77,157,97,2018-06-12 12:27:15.556361,
False,77,160,97,2018-06-12 12:27:15.573009,
False,77,164,97,2018-06-12 12:27:15.589701,
False,77,170,97,2018-06-12 12:27:15.606366,
False,77,178,97,2018-06-12 12:27:15.623033,
False,77,185,97,2018-06-12 12:27:15.639685,
False,77,192,97,2018-06-12 12:27:15.656456,
False,77,197,97,2018-06-12 12:27:15.673014,
False,77,201,97,2018-06-12 12:27:15.689683,
False,77,202,97,2018-06-12 12:27:15.706352,
False,77,201,97,2018-06-12 12:27:15.723023,
False,77,200,97,2018-06-12 12:27:15.739686,
False,77,198,97,2018-06-12 12:27:15.756346,
True,96,195,97,2018-06-12 12:27:15.773006,
True,96,192,97,2018-06-12 12:27:15.789685,
False,96,189,97,2018-06-12 12:27:15.806332,
False,96,187,97,2018-06-12 12:27:15.823021,
False,96,184,97,2018-06-12 12:27:15.839689,
False,96,182,97,2018-06-12 12:27:15.856350,
False,96,179,97,2018-06-12 12:27:15.873009,
False,96,177,97,2018-06-12 12:27:15.889681,
